name;team;position;main;score;winrate;matches_played;kills_norm;deaths_norm;assists_norm;kda_norm;damageDealtToBuildings_norm;damageDealtToObjectives_norm;damageDealtToTurrets_norm;gameDuration_norm;damagePerMinute_norm;damageTakenOnTeamPercentage_norm;firstTurretKilled_norm;goldPerMinute_norm;killParticipation_norm;laneMinionsFirst10Minutes_norm;riftHeraldTakedowns_norm;soloKills_mean_norm;soloKills_total_norm;stealthWardsPlaced_norm;survivedSingleDigitHpCount_norm;teamBaronKills_norm;teamDamagePercentage_norm;teamRiftHeraldKills_norm;turretPlatesTaken_norm;voidMonsterKill_norm;wardTakedowns_norm;damageSelfMitigated_norm;firstBloodKill_norm;largestCriticalStrike_norm;largestMultiKill_norm;magicDamageDealt_norm;magicDamageDealtToChampions_norm;magicDamageTaken_norm;objectivesStolen_norm;pentaKills_norm;physicalDamageDealt_norm;physicalDamageDealtToChampions_norm;physicalDamageTaken_norm;timeCCingOthers_norm;totalDamageDealt_norm;totalDamageDealtToChampions_norm;totalDamageShieldedOnTeammates_norm;totalHeal_norm;totalHealsOnTeammates_norm;totalMinionsKilled_norm;totalTimeCCDealt_norm;totalTimeSpentDead_norm;trueDamageDealt_norm;trueDamageDealtToChampions_norm;trueDamageTaken_norm;turretKills_norm;visionScore_norm;visionWardsBoughtInGame_norm;wardsKilled_norm;wardsPlaced_norm;pinksPlaced_norm;cs_15_norm;gold_15_norm;xp_15_norm;cs_15_diff_norm;gold_15_diff_norm;xp_15_diff_norm;visionScorePerMinute_norm;CSPerMinute_norm;win_count;kills;deaths;assists;kda;damageDealtToBuildings;damageDealtToObjectives;damageDealtToTurrets;gameDuration;damagePerMinute;damageTakenOnTeamPercentage;firstTurretKilled;goldPerMinute;killParticipation;laneMinionsFirst10Minutes;riftHeraldTakedowns;soloKills_mean;soloKills_total;stealthWardsPlaced;survivedSingleDigitHpCount;teamBaronKills;teamDamagePercentage;teamRiftHeraldKills;turretPlatesTaken;voidMonsterKill;wardTakedowns;damageSelfMitigated;firstBloodKill;largestCriticalStrike;largestMultiKill;magicDamageDealt;magicDamageDealtToChampions;magicDamageTaken;objectivesStolen;pentaKills;physicalDamageDealt;physicalDamageDealtToChampions;physicalDamageTaken;timeCCingOthers;totalDamageDealt;totalDamageDealtToChampions;totalDamageShieldedOnTeammates;totalHeal;totalHealsOnTeammates;totalMinionsKilled;totalTimeCCDealt;totalTimeSpentDead;trueDamageDealt;trueDamageDealtToChampions;trueDamageTaken;turretKills;visionScore;visionWardsBoughtInGame;wardsKilled;wardsPlaced;pinksPlaced;cs_15;gold_15;xp_15;cs_15_diff;gold_15_diff;xp_15_diff;visionScorePerMinute;CSPerMinute;FirstBlood_pct;FirstTurret_pct
Fiorelia;Paris Noctilians;MID;VRAI;57,80236144;0,333;3;44,41666667;57,54545455;28,86666667;14,64516129;14,07845172;3,999129086;14,07845172;77,24360287;46,37085525;54,28571429;50;53,92398691;65,82278481;87,34177215;0;11,16666667;16,66666667;27,5862069;0;0;61,9047619;33;;14,88888889;7,142857143;33,96518056;0;0;25;49,77687086;56,86325006;23,43638083;0;;5,524129835;4,55404384;58,27164796;10;39,35737614;59,88201272;0;11,55405922;0;78,9380531;26,50065703;24,53736089;1,482684348;18,24801573;81,24623358;0;15,74347467;3,092783505;7,142857143;20,825;3,536977492;83,70676692;68,60981688;84,72102032;78,88481675;71,8360959;96,31394193;12,29773463;76,6297663;1;5,33;5,67;4,33;2,27;1356,67;1882,67;1356,67;2173,67;684,48;0,17;3;350,06;0,52;69;0;0,67;2;8;0;0;0,26;0,33;0;0,67;1;21041,67;0;0;1;137024;23270;15085,67;0;0;15761,33;1446;14946;8;154364;25970;0;3783;0;228;201,67;237,33;1577,67;1253;778;0;13,33;0,33;1;8,33;0,33;116,33;5512;7667,67;25,67;772;1949,33;0,38;6,4;0;1
Flotilter;Rouen Rotomagus Rex;SUP;VRAI;69,58858332;0,6;5;11,66666667;69,09090909;98,66666667;35,93548387;18,48181394;9,597467978;18,48181394;64,31934493;18,65503562;60;100;30,73999497;100;17,97468354;50;3,333333333;8,333333333;99,31034483;0;26,66666667;23,80952381;60;;31,11111111;60;43,09891404;0;0;25;4,981665994;17,18455294;65,1762874;0;;2,413121018;6,273620559;64,06590053;55,5;6,654522971;23,11532678;84,76025782;12,68344938;33,66550792;8,991150442;18,42312746;58,6009539;5,200442492;14,45277798;77,48101724;5,714285714;99,91732609;76,85098407;60;91;79,31404073;14,13533835;33,06967169;43,89057751;63,03664921;59,91605606;67,5636436;80,25889968;9,102091021;3;1,4;4,4;14,8;5,57;1781;4518,2;1781;2047,4;277,16;0,15;5;257,95;0,79;14,2;1;0,2;1;28,8;0;0,4;0,1;0,6;0;1,4;8,4;26626,4;0;0;1;14310;7092,4;7580;0;0;7051,2;1992;12874,4;44,4;26895,8;10077,6;2695,8;4152;1307,4;30,4;140,2;130,2;5533,6;992,4;934,2;0,2;84,6;8,2;8,4;36,4;7,4;23,8;3872;4242,2;-4,6;-65,8;-941,8;2,48;0,91;0;1
GDIE;Lille Fortress;BOT;VRAI;64,72925717;1;2;75;100;23,33333333;56,4516129;74,28008094;52,93667821;74,28008094;26,25383828;54,01223437;74,28571429;25;81,07727158;49,36708861;82,27848101;50;8,333333333;8,333333333;17,24137931;0;33,33333333;54,76190476;100;;33,33333333;42,85714286;7,100451393;0;91,07893508;50;0,39989852;1,063242706;94,33322211;0;;52,9329714;66,88555052;84,64730047;19,375;40,48045421;54,34586466;0;9,537072462;0;73,80530973;11,1695138;89,82511924;7,975559349;26,48365252;98,11980234;85,71428571;24,80217314;9,372071228;42,85714286;23,75;10,71811361;100;92,14432766;70,14124799;77,7486911;85,67261862;87,38564041;23,94822006;93,35793358;2;9;1;3,5;8,75;7158;24921;7158;1675,5;796,78;0,1;2;457,94;0,39;65;1;0,5;1;5;0;0,5;0,23;1;0;1,5;6;4615,5;0;1950;2;1758,5;519,5;2337;0;0;148495,5;21237,5;5516;15,5;158741,5;23577;0;3124;0;213,5;85;32;8486,5;1818,5;78;3;21;1;6;9,5;1;138;6598;6444,5;23,5;1744,5;1051,5;0,74;7,76;0;1
Golden92Boy;Sèvres Burst;MID;VRAI;0;0;1;0;100;0;0;0;0;0;31,72978506;0;100;0;0;0;6,329113924;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;100;0;;0;0;100;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1729;3;0,01;1;135,82;0;5;0;0;0;0;0;0;0;0;0;0;0;274;0;0;0;663;86;1318;0;0;295;0;27;0;958;86;0;8;0;5;0;0;0;0;0;0;0;0;0;0;0;5;2346;560;-125;-4277;-7736;0;0,17;0;1
Hyvel;Toulouse sentinels;MID;FAUX;47,46862782;0;1;16,66666667;72,72727273;13,33333333;6,451612903;37,2541898;8,728253712;37,2541898;0;33,75611548;28,57142857;0;51,0974075;63,29113924;63,29113924;0;16,66666667;8,333333333;10,34482759;33,33333333;0;64,28571429;0;;0;0;65,89199267;0;0,280242877;25;12,38280017;18,35595943;54,05405405;0;;15,88733844;13,34089191;46,52707057;30;20,11509145;27,11393869;0;10,92662025;0;42,47787611;53,61366623;58,34658188;0;0;69,79631192;28,57142857;4,724223456;0;0;7,5;0;69,92481203;64,05894463;83,0562012;57,59162304;50,55132674;80,87708831;5,825242718;62,97662977;0;2;4;2;1;3590;4109;3590;1419;499,09;0,26;1;338,83;0,5;50;0;1;1;3;1;0;0,27;0;0;0;0;40563;0;6;1;34585;7570;9580;0;0;44776;4236;19145;24;79362;11806;0;3578;0;125;408;131;0;0;1253;1;4;0;0;3;0;98;5302;7528;-15;-724;397;0,18;5,29;0;1
Hyvel;Toulouse sentinels;TOP;VRAI;20,09211547;0;3;16,66666667;66,63636364;15,53333333;7,290322581;13,87775645;3,207511099;13,87775645;31,32036847;38,68184509;31,42857143;50;48,30103197;62,02531646;90,72151899;0;0;0;25,27586207;0;0;69,04761905;0;;0;4,785714286;52,93896376;0;8,967772069;25;11,05479395;14,87232503;28,43215438;0;;27,16180901;31,02166793;61,16373966;21,25;28,7868884;36,84365529;0;10,33796006;0;68,31858407;31,05519054;48,59459459;5,520038141;0,165004005;91,14547427;9,428571429;15,35372623;0;4,785714286;18,325;0;84,21052632;56,14909524;81,87615472;68,06282723;59,63334993;75,91159507;15,53398058;83,39483395;0;2;4,67;2,33;1,13;1337,33;1510;1337,33;1725;571,48;0,25;3;327,72;0,49;71,67;0;0;0;7,33;0;0;0,29;0;0;0;0,67;32643;0;192;1;30947;6149,67;14187,33;0;0;76342;9850;13912;17;113162,67;16011,67;0;3385,67;0;198;236,33;161,67;5873,67;11,33;367,33;0,33;13;0;0,67;7,33;0;117;4937;7429;5;-85,67;-102,33;0,48;6,95;0;1
Jhin Moulant;Nantes Nautilus;SUP;VRAI;72,36112672;1;2;16,66666667;81,81818182;90;33,35483871;20,75961189;12,12269261;20,75961189;18,37256909;22,98537727;60;25;39,42109237;75,94936709;13,29113924;0;0;0;98,27586207;0;33,33333333;23,80952381;50;;22,22222222;92,85714286;13,02989664;0;0;25;6,05049563;15,64205389;71,0293627;0;;2,194817894;5,147707231;80,85177974;42,5;6,492815122;20,78658184;91,24351517;15,48703038;40,94244882;7,433628319;21,94480946;83,9427663;2,430306543;14,14840166;89,68301796;42,85714286;96,25605291;84,34864105;92,85714286;100;96,46302251;9,398496241;41,60797486;38,5422254;60,9947644;65,8746532;74,77625298;100;9,840098401;2;2;3;13,5;5,17;2000,5;5707;2000,5;1598,5;340,8;0,15;2;292,44;0,6;10,5;0;0;0;28,5;0;0,5;0,1;0,5;0;1;13;8241;0;0;1;17238;6463,5;6527,5;0;0;6440;1634,5;6873;34;26265,5;9071;2902;5068;1590;26;167;50,5;2586;971,5;428;1,5;81,5;9;13;40;9;17,5;4266;3793,5;-8,5;353;-216,5;3,09;0,97;0;1
Kiotys;Barcelona Savage;SUP;VRAI;53,59389116;0;2;8,333333333;68,18181818;50;12,38709677;3,969283454;4,650891093;3,969283454;18,37256909;18,35496009;54,28571429;25;29,66775736;97,46835443;17,72151899;50;0;0;84,48275862;0;0;30,95238095;50;;11,11111111;82,14285714;33,43255266;0;1,261092947;25;3,823767223;13,50453135;68,779891;0;;1,330641833;3,20452255;67,7968107;44,375;4,68190786;16,67784847;27,02405282;14,42497513;15,07660615;10,61946903;18,00262812;65,02384738;3,803815055;9,983252021;69,3985778;0;79,72127082;65,60449859;82,14285714;76,25;64,30868167;15,78947368;33,95817532;41,12283211;69,89528796;55,82983567;79,08214002;82,20064725;14,02214022;0;1;4,5;7,5;1,92;382,5;2189,5;382,5;1598,5;272,75;0,17;2;253,69;0,77;14;1;0;0;24,5;0;0;0,13;0,5;0;0,5;11,5;20716;0;27;1;11138;5592;6932;0;0;4020,5;1017,5;11540,5;35,5;19207;7295;859,5;4721;585,5;35;137;110;4047,5;685,5;1269,5;0;67,5;7;11,5;30,5;6;26;3913;4010;8,5;-353;216,5;2,54;1,31;0;1
Kutos;Paris Noctilians;BOT;VRAI;24,41979501;0,333;3;25;75,72727273;48,86666667;20,77419355;51,70269289;34,45136691;51,70269289;77,24360287;32,9844927;68,57142857;50;57,23634533;72,15189873;58,2278481;0;0;0;41,37931034;0;0;45,23809524;33;;0;30,92857143;28,73653997;100;42,31667445;25;1,497263132;2,037379052;66,93360027;0;;67,33703799;51,29966616;65,32194658;14,5875;51,66449791;41,27164835;32,79358591;22,28072538;41,61194799;84,83893805;28,68988173;58,45151033;8,218185892;10,47593388;76,97167651;19,14285714;31,0972009;9,372071228;30,92857143;31,675;7,18113612;72,42857143;56,35865207;62,7251922;55,4973822;52,7946219;72,62997216;23,62459547;81,18081181;1;3;3,67;7,33;3,22;4982,33;16218,67;4982,33;2173,67;487,75;0,12;3;363,22;0,57;46;0;0;0;12;0;0;0,19;0,33;0;0;4,33;17844,67;2;906;1;4764,67;916,67;7264;0;0;188823,67;16288,67;12425,33;11,67;202334,33;17925,67;1043;7287,67;1616;244,67;218,33;130,67;8744,67;719,33;955,33;0,67;26,33;1;4,33;12,67;0,67;101,33;4946,67;5822,33;-19;-566,33;-432,33;0,73;6,77;0,667;1
Kutos;Paris Noctilians;BOT;VRAI;24,41979501;0,333;3;25;75,72727273;48,86666667;20,77419355;51,70269289;34,45136691;51,70269289;77,24360287;32,9844927;68,57142857;50;57,23634533;72,15189873;58,2278481;0;0;0;41,37931034;0;0;45,23809524;33;;0;30,92857143;28,73653997;100;42,31667445;25;1,497263132;2,037379052;66,93360027;0;;67,33703799;51,29966616;65,32194658;14,5875;51,66449791;41,27164835;32,79358591;22,28072538;41,61194799;84,83893805;28,68988173;58,45151033;8,218185892;10,47593388;76,97167651;19,14285714;31,0972009;9,372071228;30,92857143;31,675;7,18113612;72,42857143;56,35865207;62,7251922;55,4973822;52,7946219;72,62997216;23,62459547;81,18081181;1;3;3,67;7,33;3,22;4982,33;16218,67;4982,33;2173,67;487,75;0,12;3;363,22;0,57;46;0;0;0;12;0;0;0,19;0,33;0;0;4,33;17844,67;2;906;1;4764,67;916,67;7264;0;0;188823,67;16288,67;12425,33;11,67;202334,33;17925,67;1043;7287,67;1616;244,67;218,33;130,67;8744,67;719,33;955,33;0,67;26,33;1;4,33;12,67;0,67;101,33;4946,67;5822,33;-19;-566,33;-432,33;0,73;6,77;0,667;1
LoveInSpace;Lyon Nexus;SUP;VRAI;58,32768387;1;2;4,166666667;100;100;100;37,80937062;11,51199099;37,80937062;2,047082907;18,05012146;77,14285714;25;36,26982129;83,5443038;11,39240506;0;0;0;58,62068966;0;0;19,04761905;100;;55,55555556;35,71428571;5,584358236;0;0;25;4,311822285;12,9244693;97,56701146;0;;1,342785659;2,90217939;84,1256611;28,125;4,835328919;14,70676692;92,90991982;15,50233377;88,37388953;4,955752212;17,54270696;91,41494436;3,077354515;2,402970946;96,19139448;28,57142857;53,14751388;18,74414246;35,71428571;48,75;16,07717042;8,646616541;33,19969661;42,21348114;62,30366492;64,6795191;74,26909308;61,16504854;7,626076261;2;0,5;1;15;15,5;3643,5;5419,5;3643,5;1439;268,27;0,09;2;279,92;0,66;9;0;0;0;17;0;0;0,08;1;0;2,5;5;3688,5;0;0;1;12475;5355,5;1755,5;0;0;4054,5;921,5;5702,5;22,5;19805;6443;2955;5073;3432;19;133,5;27;3274,5;165;158;1;45;2;5;19,5;1,5;16,5;3878;4101,5;-6;269;-267,5;1,89;0,79;0;1
Machi Mero;Nantes Nautilus;BOT;VRAI;46,09850674;1;2;45,83333333;95,45454545;36,66666667;51,61290323;83,34457531;68,46018225;83,34457531;18,37256909;45,42435851;65,71428571;25;67,80770199;54,43037975;91,7721519;50;0;0;10,34482759;0;33,33333333;45,23809524;50;;22,22222222;21,42857143;11,22922936;0;51,93834657;50;0,025370102;0,772598506;74,95273051;0;;46,36584053;54,27689594;83,69072855;18,75;33,8886081;41,41469057;0;11,06741143;0;64,42477876;9,395532194;81,3990461;2,072715035;5,119056288;92,17789562;14,28571429;14,17267037;14,05810684;21,42857143;12,5;10,71811361;95,11278195;65,42420631;71,25573634;72,51308901;62,53823718;85,3221957;14,88673139;84,0098401;2;5,5;1,5;5,5;8;8031,5;32229;8031,5;1598,5;670,57;0,13;2;405,22;0,43;72,5;1;0;0;3;0;0,5;0,19;0,5;0;1;3;7140;0;1112;2;732,5;401;5822;0;0;130109;17234;5858;15;133048;17987,5;0;3624;0;187;71,5;58,5;2205,5;351,5;324,5;0,5;12;1,5;3;5;1;131,5;5365;6538;13,5;118,5;844;0,46;7;0;1
Margaux;Bordeaux Blades;SUP;VRAI;27,51811189;0;2;4,166666667;54,54545455;36,66666667;5,741935484;4,846157837;3,11086093;4,846157837;26,25383828;7,058239149;71,42857143;25;22,74351875;50,63291139;8,227848101;0;0;0;81,03448276;0;0;14,28571429;0;;0;46,42857143;27,00510271;0;0;25;1,858588145;5,571293673;76,12890668;0;;0,593975941;1,292831948;74,6312653;23,75;2,166880037;6,827067669;100;6,499349606;16,801854;4,247787611;8,607095926;58,18759936;1,588721273;3,903007355;87,54971677;0;65,54860045;18,74414246;46,42857143;63,75;21,43622722;3,383458647;21,23740384;41,01555516;60,47120419;53,1976951;71,31563246;65,04854369;5,412054121;0;0,5;6;5,5;0,89;467;1464,5;467;1675,5;106,73;0,11;2;226,18;0,4;6,5;0;0;0;23,5;0;0;0,06;0;0;0;6,5;16786;0;0;1;5754,5;2357,5;5610,5;0;0;1958;410,5;9097;19;9404;3037;3180,5;2131,5;652,5;17;65,5;131,5;1690,5;268;516,5;0;55,5;2;6,5;25,5;2;9,5;3326;4001;-9,5;-538;-564,5;2,01;0,61;0;1
Melhiast;Nantes Nautilus;TOP;VRAI;90,24942059;1;2;79,16666667;81,81818182;50;40,32258065;72,11643231;27,85755252;72,11643231;18,37256909;100;2,857142857;25;100;82,27848101;92,40506329;0;100;100;25,86206897;0;33,33333333;100;50;;22,22222222;10,71428571;57,31061102;50;13,77860813;50;0,025005065;1,556234134;79,53231009;0;;60,51536181;99,90079365;35,24399716;26,875;47,40364362;90,74031232;0;40,03672814;0;74,86725664;48,35742444;70,58823529;14,35065;100;13,75195854;85,71428571;17,71583796;9,372071228;10,71428571;22,5;10,71811361;93,98496241;90,45400368;92,98527922;74,86910995;86,89620829;88,77784407;19,09385113;97,78597786;2;9,5;3;7,5;6,25;6949,5;13114,5;6949,5;1598,5;1472,63;0,35;2;533,12;0,65;73;0;6;12;7,5;0;0,5;0,42;0,5;0;1;1,5;35316;1;295;2;731,5;720,5;4998,5;0;0;169724,5;31720,5;23179;21,5;185726,5;39308,5;0;13089;0;216,5;368;92,5;15270;6866,5;3578;3;15;1;1,5;9;1;130;6520;8361;18;1830,5;1191,5;0,59;8,12;0,5;1
Murkow;Lyon Nexus;MID;VRAI;93,96431049;1;2;70,83333333;90,90909091;46,66666667;72,06451613;62,62647227;22,58002846;62,62647227;2,047082907;65,46137463;34,28571429;25;77,07525799;84,81012658;84,81012658;0;58,33333333;58,33333333;12,06896552;0;0;66,66666667;100;;0;0;20,10745126;50;0;50;36,50173667;51,97135254;76,71838505;0;;3,024884092;3,799760645;58,07865538;17,5;29,55946605;53,40080972;0;16,40982478;0;55,39823009;28,05519054;84,41971383;6,345017256;9,975970291;86,30830421;57,14285714;20,07794969;46,86035614;0;30;42,87245445;86,84210526;87,3659118;89,34978247;81,15183246;82,40022764;85,86913286;24,27184466;80,68880689;2;8,5;2;7;11,17;6035;10630;6035;1439;965,04;0,24;2;442,04;0,67;67;0;3,5;7;3,5;0;0;0,28;1;0;0;0;12568,5;1;0;2;100657,5;21275,5;5504,5;0;0;8764;1206,5;15015;14;116174;23168,5;0;5369,5;0;161,5;213,5;49;6751,5;685;568;2;17;5;0;12;4;120,5;6377,5;8056;30;1514,5;899;0,75;6,73;0,5;1
Nanayara;Nantes Nautilus;JGL;VRAI;37,07935915;1;2;25;90,90909091;56,66666667;50;41,58148705;77,9010982;41,58148705;18,37256909;22,68802352;40;25;68,63075761;55,69620253;0,632911392;50;0;0;6,896551724;0;33,33333333;23,80952381;50;;77,77777778;32,14285714;48,40622138;0;7,519850537;50;33,93862625;9,722477711;75,07507508;0;;27,91615488;12,92359536;58,64644515;16,875;62,6169579;20,46153846;0;34,66676869;0;7,96460177;54,00788436;82,19395866;68,5424448;11,30852691;96,39628781;57,14285714;33,66009212;32,8022493;32,14285714;13,75;37,51339764;76,31578947;75,89121248;69,50950593;65,96858639;64,34516611;77,81921241;35,27508091;10,70110701;2;3;2;8,5;7,75;4007;36673,5;4007;1598,5;336,43;0,22;2;408,49;0,44;0,5;1;0;0;2;0;0,5;0,1;0,5;0;3,5;4,5;29871,5;0;161;2;93636;4050;5800;0;0;78454;4103,5;14812;13,5;245024,5;8930,5;0;11334,5;0;27,5;411;56;72933,5;776,5;149,5;2;28,5;3,5;4,5;5,5;3,5;106,5;5848;6391,5;1;245,5;89,5;1,09;1,04;0;1
Nangdar;Lille Fortress;SUP;VRAI;11,02030661;1;2;8,333333333;81,81818182;86,66666667;30,64516129;8,213563016;13,54376872;8,213563016;26,25383828;15,48484993;60;25;33,85099421;54,43037975;14,55696203;100;0;0;72,4137931;0;33,33333333;16,66666667;100;;100;39,28571429;27,6633848;0;0;25;3,739808611;10,37734692;90,65732399;0;;2,420371596;4,750881834;75,88991256;36,25;5,905171419;14,64430307;2,593931772;3,530492004;2,806746492;5,486725664;12,15505913;75,03974563;5,633123518;8,592441564;82,2827528;0;73,8159915;56,23242737;39,28571429;63,75;42,87245445;10,52631579;32,89630513;47,74420406;70,41884817;68,50679377;82,54276054;70,87378641;7,257072571;2;1;3;13;4,75;791,5;6376;791,5;1675,5;230,57;0,15;2;270,31;0,43;11,5;2;0;0;21;0;0,5;0,07;1;0;4,5;5,5;17188,5;0;0;1;10908;4317;2998;0;0;7071,5;1508,5;8647;29;23975;6416;82,5;1161,5;109;20,5;92,5;78,5;5994;590;735;0;62,5;6;5,5;25,5;4;19;3864;4565,5;9,5;538;564,5;2,19;0,76;0;1
Papa Noth;Rouen Rotomagus Rex;BOT;VRAI;84,90801662;1;2;79,16666667;86,36363636;43,33333333;62,06451613;100;61,57253011;100;44,93346981;60,51250995;62,85714286;25;83,28215454;88,60759494;89,24050633;0;16,66666667;16,66666667;17,24137931;0;66,66666667;69,04761905;100;;11,11111111;28,57142857;15,267238;0;36,89864549;75;7,772742289;18,10087929;81,99310422;0;;54,80204903;62,80234316;77,28840951;13,125;45,04485898;63,79641411;0;13,31547938;0;73,45132743;11,10381078;76,15262321;0,795535378;3,706400641;92,50331445;100;25,39270107;23,43017807;28,57142857;25;16,07717042;90,97744361;78,20999025;63,43047857;65,44502618;60,85224443;76,9291965;22,65372168;82,28782288;2;9,5;2,5;6,5;9,62;9636,5;28986,5;9636,5;1858;892,31;0,14;2;466,7;0,7;70,5;0;1;2;5;0;1;0,29;1;0;0,5;4;9609;0;790;3;21956;7466;4556;0;0;153728,5;19941;8147;10,5;176532,5;27662;0;4358,5;0;212,5;84,5;75;846,5;254,5;311;3,5;21,5;2,5;4;10;1,5;126;5955;5881,5;0;0;0;0,7;6,86;0;1
PasteurPouglas;Rouen Rotomagus Rex;JGL;VRAI;84,82916644;1;2;50;90,90909091;70;76,32258065;37,29051004;100;37,29051004;44,93346981;32,15707355;0;25;76,74049836;91,13924051;1,898734177;100;8,333333333;8,333333333;6,896551724;0;66,66666667;38,0952381;100;;88,88888889;28,57142857;72,96709407;0;26,15600187;50;10,06426484;10,1909422;62,94906017;0;;60,75180924;30,88151927;29,25563322;23,75;73,61067995;33,81376518;0;64,74558115;6,012617484;6,725663717;42,6412615;86,16852146;83,88175779;9,539066482;85,09099675;42,85714286;24,80217314;18,74414246;28,57142857;10;21,43622722;75,56390977;67,92718604;65,14095;74,60732984;67,42548197;82,85600636;22,33009709;7,380073801;2;6;2;10,5;11,83;3593,5;47077;3593,5;1858;475,59;0,36;2;440,71;0,72;1,5;2;0,5;1;2;0;1;0,16;1;0;4;4;44889;0;560;2;28233,5;4241;7980,5;0;0;170386,5;9805,5;25320;19;287875,5;14702;0;21162;233,5;24;324,5;43,5;89255,5;655;618,5;1,5;21;2;4;4;2;105,5;5480,5;6025;17,5;462;596;0,69;0,77;0;1
Red Gamer;Toulouse sentinels;MID;VRAI;33,14983215;0;2;16,66666667;81,81818182;10;7,548387097;1,224510974;0,250653185;1,224510974;44,93346981;16,29593843;57,14285714;25;38,8295998;49,36708861;63,29113924;0;0;0;15,51724138;0;0;30,95238095;0;;0;10,71428571;19,18422086;0;0;75;22,40654585;13,67254087;35,35479924;0;;4,372134392;1,06292517;80,21406513;12,5;24,40485201;17,17987276;0;10,87917974;0;58,5840708;20,76215506;61,20826709;20,20650463;22,0345154;96,40834036;0;28,34534073;18,74414246;10,71428571;33,75;21,43622722;65,41353383;54,31791093;81,35764944;50,78534031;59,50060468;73,37907717;25,56634304;65,80565806;0;2;3;1,5;1,17;118;118;118;1858;242,49;0,16;2;290,09;0,39;50;0;0;0;4,5;0;0;0,13;0;0;0;1,5;12004;0;0;3;62044,5;5660,5;12942,5;0;0;12536;337,5;7101;10;96082,5;7512;0;3562,5;0;170,5;158;122;21501;1513;149;0;24;2;1,5;13,5;2;92;4852,5;7385,5;-28;-95;-357;0,79;5,52;0;1
Rog;Bordeaux Blades;BOT;VRAI;33,23693087;0;2;29,16666667;90,90909091;20;20,96774194;30,25994915;11,59164773;30,25994915;26,25383828;29,02635357;74,28571429;25;68,59803675;56,96202532;78,48101266;0;0;0;20,68965517;100;0;52,38095238;0;;0;17,85714286;11,95456627;0;36,61840262;75;3,303223828;2,114221944;78,31164498;0;;47,48592986;36,30322499;80,28259148;9,375;37,77429145;29,55234239;0;13,50065039;0;78,2300885;10,64388962;87,28139905;4,920289987;5,592368747;82,98180065;42,85714286;20,66847762;37,48828491;17,85714286;28,75;32,15434084;82,33082707;54,33958175;57,60772394;53,14136126;36,03187024;66,47275259;20,06472492;96,92496925;0;3,5;2;3;3,25;2916;5457;2916;1675,5;429,58;0,1;2;408,36;0,45;62;0;0;0;6;3;0;0,22;0;0;0;2,5;7583,5;0;784;3;9712;948;5218;0;0;133245;11527;7076,5;7,5;148193,5;12860;0;4419;0;226;81;40;5235,5;384;706;1,5;17,5;4;2,5;11,5;3;114,5;4853,5;5393;-23,5;-1744,5;-1051,5;0,62;8,05;0;1
Rymev;Nantes Nautilus;MID;VRAI;77,85849291;1;2;50;95,45454545;53,33333333;62,38709677;54,0133866;27,32863182;54,0133866;18,37256909;49,2110259;60;25;79,42109237;68,35443038;98,73417722;0;16,66666667;16,66666667;20,68965517;0;33,33333333;47,61904762;50;;33,33333333;28,57142857;14,81175586;50;0;25;48,71534198;43,81369339;72,12490268;0;;5,008435137;2,110103301;78,90227499;46,25;38,73291651;44,79930596;6,319761044;14,77542276;0;68,14159292;33,77135348;80,60413355;3,285048925;12,0803903;93,16620465;57,14285714;26,57375694;23,43017807;28,57142857;31,25;26,79528403;99,62406015;90,62737025;97,25251803;71,72774869;82,93376965;90,08552108;28,15533981;89,17589176;2;6;1,5;8;9,67;5205;12865,5;5205;1598,5;726,22;0,15;2;451,36;0,54;78;0;1;2;6;0;0,5;0,2;0,5;0;1,5;4;9330,5;1;0;1;134116;17949,5;6330,5;0;0;14317,5;670;7570;37;151930;19450,5;201;4835,5;0;197,5;257;61;3495,5;829,5;283,5;2;22,5;2,5;4;12,5;2,5;137,5;6528;8719;12;1552;1323;0,87;7,42;0,5;1
Skyynox;Paris Noctilians;TOP;VRAI;27,17760614;0,333;3;22,25;87,90909091;42,2;30,83870968;51,23229388;15,97525331;51,23229388;77,24360287;34,98227445;40;50;54,7797634;67,08860759;85,65822785;50;0;0;47,13793103;0;0;50;33;;37,11111111;38,07142857;93,12660277;0;1,261092947;25;32,05624862;25,34694578;31,08480703;0;;26,03850514;22,77547871;43,94731918;56,25;43,81419889;42,61499132;0;29,62329176;0;84,71858407;100;74,34976153;9,453074831;12,43238914;38,04989755;47,71428571;49,21459785;62,51171509;38,07142857;50;67,84565916;95,73684211;72,6551089;89,89010072;71,20418848;65,96955254;76,53470565;34,62783172;82,41082411;1;2,67;2,33;6,33;4,78;4937;7520,67;4937;2173,67;517,11;0,22;3;353,46;0,53;67,67;1;0;0;13,67;0;0;0,21;0,33;0;1,67;5,33;57215,33;0;27;1;88479,33;10420,33;13710,33;0;0;73197;7231,67;20067,33;45;171735,67;18506,33;0;9686,67;0;244,33;761;80,67;10058,67;853,67;2570;1,67;41,67;6,67;5,33;20;6,33;132,33;5698,67;8101,33;11;359,67;-39,67;1,07;6,87;0;1
